site,ensemble_mse_scaled,full_mse_scaled,G_hat_count,O_hat_count,ensemble_rmse
US-Blo,0.0020945201953335,0.0021173223,259,52,0.045765928323737735
US-CF1,0.0019211845071075,0.0019589982,259,52,0.04383131879270232
US-CF2,0.0028040442134629,0.0029216153,259,52,0.05295322665771086
US-CF3,9.682591049911516e-05,9.719881e-05,259,52,0.009840015777381415
US-CF4,0.0033500643442601,0.0032962642,259,52,0.05787974036102875
US-CRT,0.0135930316022028,0.014301385,257,52,0.11658915730977217
US-CS1,0.0001945836245542,0.0005533963,257,52,0.013949323444318007
US-CS3,0.0007630824877997,0.00077789655,257,52,0.027623947722939603
US-CS4,0.0001268779408565,0.00012788152,257,52,0.01126401086898002
US-EDN,0.0028363482361237,0.002947985,257,52,0.05325737729295069
US-GLE,0.0008092575814436,0.0007976724,257,52,0.028447452986930133
US-Goo,0.0028281908644121,0.0027737985,257,52,0.05318073771970543
US-HB1,0.0006552839517012,0.0006795403,263,56,0.025598514638572295
US-HWB,0.0010983509349547,0.0011026565,257,52,0.03314137798816911
US-Hn3,0.000264691622443,0.00028989656,257,52,0.016269346097584868
US-Ho2,0.0010991721711173,0.0011063233,259,52,0.033153765564673046
US-IB2,0.0005751196262773,0.0005993648,257,52,0.02398165186715252
US-ICs,7.672606752591705e-05,7.82225e-05,259,52,0.008759341729029474
US-ICt,5.481037114490098e-05,5.6080316e-05,259,52,0.007403402673426657
US-Ivo,0.0030282460314421,0.0031544045,257,52,0.05502950146459715
US-Jo2,0.0010345876278174,0.0010356243,259,52,0.0321650062617342
US-KFS,0.0005917569113026,0.00061800337,257,52,0.024326054166317234
US-KLS,0.0007446326186616,0.00079595775,257,52,0.02728795739262285
US-KS1,0.0005887955488139,0.00059361773,259,52,0.024265109701254183
US-KS2,0.0012246015384545,0.0012132417,259,52,0.03499430722924087
US-KS3,0.0002805103435316,0.0002743887,257,52,0.016748443018131567
US-LWW,0.0035470028661586,0.0036459318,271,64,0.05955671973974557
US-Lin,0.0080583182727187,0.0082038585,259,52,0.0897681361771464
US-Los,0.0009220146760425,0.00093649025,259,52,0.03036469456527597
US-MOz,0.0007729574441838,0.0007754224,257,53,0.027802112225221307
US-Me1,0.002559186937955,0.0026017027,259,52,0.05058840714981052
US-Me2,0.0010864394901671,0.0010875626,257,52,0.032961181565094116
US-Me3,0.001678172234943,0.001676924,259,52,0.040965500545495595
US-Me4,0.0037744363464673,0.0037158437,259,52,0.06143644151859139
US-Me5,0.0040169169543692,0.0039425744,259,52,0.06337915236392168
US-Me6,0.0022952822094867,0.002292708,257,52,0.0479091036180672
US-Mpj,0.0034237428029341,0.0034759603,257,52,0.05851275760835495
US-Myb,0.0034036679055339,0.0034276254,259,52,0.05834096250092125
US-NC1,0.0035526824700359,0.003523212,257,52,0.05960438297672328
US-NC4,0.0009893802693326,0.0010026759,257,52,0.03145441573662751
US-NR1,0.0015360216374814,0.0015520012,257,52,0.03919211192933343
US-ONA,0.0004622203399144,0.0004663489,257,52,0.021499310219502393
