test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count
GL-ZaF,0.0001555132082804,0.0001577088989942,0.0124704935058917,0.0125582203752878,-0.0616384576161317,-0.076627729129358,0.0194962260475164,0.0196469489989027,0.0099141757764272,0.0099902632893432,13
GL-ZaH,0.000243181762218,0.0002465101382354,0.0155942862041856,0.0157006413319789,-14.079422414699517,-14.285811197572874,0.0241423277577503,0.024312671821943,0.0122295964609587,0.0123156854456171,13
IL-Yat,0.000478411621498,0.0004759580376923,0.0218726226479139,0.0218164625384664,-1.055688675719045,-1.0451458623388596,0.0321996426849009,0.0321567965750318,0.0164354893804179,0.0164137026256983,13
IT-BCi,0.0016928104042834,0.0016833078130273,0.0411437772243081,0.0410281344083215,0.3201894777112789,0.324005594098928,0.0392857296170249,0.0391106952461857,0.0229483598027145,0.0228451616160795,26
IT-BFt,0.0013630962069749,0.0013705495569509,0.0369201328136142,0.037020934036717,0.4977161748132307,0.4949697089971977,0.0432421300573055,0.0432751163926027,0.0248078463031992,0.0248404541476631,13
IT-CA1,0.0002987353248213,0.0002991804204641,0.0172839614909699,0.0172968326714503,0.6399596190158627,0.6394231829418526,0.0193742418494823,0.0194540763530435,0.0105467517118538,0.0105868204353083,13
IT-CA2,0.0005417058957044,0.0005360691071264,0.023274576165946,0.0231531662440887,0.3784105892637511,0.3848786157675008,0.0274272537039868,0.0273539438991442,0.014709747442228,0.0146657761838374,13
IT-CA3,0.0004903661068379,0.0004906680042821,0.0221442115876353,0.0221510271608826,0.5717798154844285,0.5715161786272785,0.021016461062245,0.0210323340668808,0.011810467040456,0.0118179909676619,13
IT-Col,0.0005771113666238,0.0005794855550425,0.0240231423136919,0.0240725062060973,0.6408349809406446,0.6393574057654381,0.0316272423933683,0.0316163990023633,0.0171422125294809,0.0171414284680092,13
IT-Cp2,0.0005998753133291,0.0005963742099351,0.0244923521395791,0.0244207741469247,0.5912548919686349,0.5936404858632783,0.0356378051827407,0.0354039033855692,0.0192255691170402,0.019110460346045,13
IT-Cpz,0.000351703589656,0.0003500435195068,0.0187537620134206,0.0187094500054599,0.7120650819135959,0.7134241586375458,0.0276810965188534,0.0274250330658309,0.0148626975672149,0.0147409331416379,13
IT-Isp,0.0011358404279128,0.0011349930657321,0.0337022317942418,0.0336896581421082,0.5333976092358055,0.5337457049802737,0.0352858481163438,0.0352990884033137,0.0204995296256009,0.0205034846276257,13
IT-La2,0.0008674557527075,0.0008659969247704,0.0294526017986104,0.0294278256888004,0.5380228547651074,0.5387997764278661,0.039802111838604,0.0397436400328286,0.0216545153301215,0.0216235451156062,13
IT-Lav,0.0008463146973544,0.0008409641392594,0.0290914884004658,0.0289993817047793,0.6060838121548754,0.6085742231736058,0.0382047433914411,0.0381457725267389,0.0212149403605647,0.021172633888597,13
IT-Lsn,0.0001778216416788,0.0001784337384443,0.0133349781281732,0.0133579092093181,0.7605031335405669,0.7596787386247947,0.0167638916927528,0.0167737939989817,0.0090026216348259,0.0090080319183458,13
IT-MBo,0.0005115451308698,0.0005078982958933,0.0226173634818433,0.022536599031205,0.6458353324602357,0.648360192964395,0.0293412875465725,0.0292783543177624,0.0159732503256988,0.0159313429462857,13
IT-Noe,0.0002303926176153,0.0002347291023555,0.0151786895882135,0.015320871462014,0.5311740477928305,0.5223497347197583,0.0201571965635653,0.0204218121634638,0.0105085031681049,0.0106416991656517,13
IT-PT1,0.000789738615756,0.000791329229328,0.0281022884433994,0.0281305746355816,0.5764279378354362,0.5755748207947331,0.0301069262015416,0.0301852745012562,0.0171332163561414,0.0171759529935745,13
IT-Ren,0.0004051397782825,0.0004036006930245,0.0201280843172564,0.0200898156543187,0.6707367873384369,0.67198762515738,0.0264249905992278,0.0263649101523262,0.0142540240242767,0.0142200826946941,13
IT-Ro1,0.0003961836896736,0.0003982181418192,0.0199043635837375,0.0199554038250101,0.6604913924656826,0.658747973862002,0.0223284406061652,0.0223802801134947,0.0123126170526513,0.0123451433590707,13
IT-Ro2,0.000589721469638,0.0005920101255794,0.0242841814693849,0.0243312581996786,0.5807448100422951,0.5791177183882401,0.0287807583240475,0.0287852298993977,0.0157492192735125,0.0157575578894956,13
IT-SR2,0.0010146025490613,0.0010082093583365,0.0318528263904693,0.0317523126454836,0.5577090811133777,0.5604960346873881,0.0394685534781296,0.0394230795708096,0.0224210648283243,0.0223843452372219,13
IT-SRo,0.0005421348197643,0.0005422431980995,0.0232837887759787,0.0232861159942909,0.6442955654149387,0.6442244564342392,0.0296550908407272,0.0295005799671331,0.0163505732879248,0.0162775242079747,26
IT-Tor,0.0003187777049076,0.0003204818732847,0.0178543469471077,0.0179020075210786,0.5757972409779365,0.5735294759609435,0.0258902115659611,0.0259030315607638,0.0133710317992099,0.0133741307628875,13
JP-SMF,0.0003511821975185,0.0003529852222437,0.0187398558563975,0.0187879009536399,0.6519931785000603,0.6502064566555419,0.025749171418582,0.0258146618465527,0.0135887604221418,0.0136236525748974,13
MX-Tes,0.0006493139473992,0.000636392593102,0.0254816394174175,0.0252268228895767,-6.179553976186808,-6.036680777491683,0.0383023676330986,0.0381891176798439,0.0195032994767713,0.0194419174639788,13
MY-PSO,0.0008269029413358,0.0008287130760574,0.0287559201093585,0.028787377026354,0.6313030357731242,0.6304959384182225,0.046050511522256,0.0461604620373504,0.0244047720283149,0.0244487086727391,26
NL-Hor,0.0002972323510463,0.0002950062794539,0.017240427809261,0.0171757468383162,0.7158713270568171,0.7179992608607961,0.0217950191237954,0.0218137192579018,0.0118220011175861,0.0118193994944684,13
NL-Loo,0.0003855605461966,0.0003850385683506,0.0196356957146072,0.0196223996583164,0.676579425978963,0.6770172777670367,0.026106991914214,0.0261692492957073,0.014145897085621,0.0141727069160979,13
PA-SPn,0.0004714770502345,0.0004685438065209,0.0217135222899134,0.0216458727364124,0.7049070643427093,0.7067429532751948,0.0298231380736956,0.0296210396397493,0.016181157462446,0.0160839451839457,13
PA-SPs,0.0009916421708912,0.0009909653678213,0.0314903504409094,0.0314796024088825,0.608699261511753,0.608966327141738,0.0416509758798082,0.0414836456423824,0.0233624396043787,0.0232869064123384,13
RU-Che,0.0001758148816796,0.000177839171533,0.0132595204166519,0.0133356354004232,-0.5825920702292082,-0.6008136510149225,0.0204509131975432,0.0204974573370994,0.0103894520054393,0.0104136875742391,13
RU-Cok,0.0002022442285635,0.0002059585760757,0.0142212597389804,0.014351256951075,-0.1277655665042099,-0.1484777186188952,0.0201686481437175,0.0203792918512498,0.0103319854898824,0.0104400577677593,13
RU-Fy2,0.0004848452460298,0.0004847434876479,0.022019201757326,0.0220168909623477,0.6807632302646354,0.6808302310600503,0.0286493912618182,0.0286633522193882,0.0155049980699788,0.015511653021877,13
RU-Fyo,0.0003319448138154,0.0003317533052424,0.0182193527276751,0.0182140963334023,0.7133950898649865,0.7135604405349352,0.0247392695323196,0.0247079614320563,0.0132465890930967,0.0132307234736669,13
RU-Ha1,0.0001286482158678,0.0001304070360754,0.0113423196863702,0.0114195900134571,0.5244730762637808,0.5179718872881154,0.0178652104938983,0.0180343848110246,0.0091980170935874,0.0092857640938662,13
SD-Dem,0.0005180485154445,0.0005232728293403,0.0227606791516544,0.0228751574713771,-0.3410460101172083,-0.3545699274659009,0.038013360043529,0.038750117185588,0.0195302924168467,0.0199023049050568,13
SE-Deg,0.0002814187756085,0.0002824334165695,0.016775540993023,0.0168057554596487,-4.171858561262539,-4.190505432030033,0.0235917485458662,0.0235937355214256,0.0120345263385021,0.0120353327294728,13
SE-Htm,0.0007220345633259,0.0007201238429455,0.0268707008342907,0.0268351233078136,0.6081931205232028,0.6092299592395433,0.033434807638408,0.0335158832377236,0.0186559660763612,0.0186888900422582,13
SE-Lnn,0.0003663208454775,0.0003678355107175,0.0191395100636762,0.019179038315765,0.5598720888886792,0.5580522458293695,0.024351876437195,0.024411162830152,0.0129929051298698,0.0130250873419364,13
SE-Nor,0.0002658348014369,0.0002660736149041,0.016304441156844,0.0163117630838656,0.7238923246598361,0.7236442825265118,0.0217449186206759,0.0218186236404418,0.0116464988984607,0.0116809798842189,13
SE-Ros,0.0001275362247214,0.0001268360256108,0.0112931937343436,0.0112621501326733,0.749524536086571,0.7508996959474555,0.0170006673173103,0.016932662099058,0.0088369998210117,0.0088049766638081,13
SE-Svb,0.0001885349336916,0.0001892437024988,0.0137308023688212,0.0137565876037205,0.7323528303787779,0.7313466509856466,0.0197843233503917,0.0198194625864378,0.0104184295053812,0.0104345282453238,13
SJ-Adv,0.0001054469131963,0.0001009820151819,0.0102687347417471,0.010048980803144,-0.1073412647190226,-0.0604535402304975,0.0177614001591416,0.0173444555986407,0.0090303613674987,0.008819363077665,13
US-A32,0.0009290022550088,0.0009285819535022,0.0304795383004544,0.0304726427062415,0.4741047064266277,0.474342633280971,0.0317751540301755,0.031734447868656,0.018081797279992,0.0180604821672157,13
US-AR1,0.0003802998051939,0.0003795317254278,0.01950127701444,0.0194815739977009,-0.5921248602941371,-0.5889092949073469,0.0302826989034485,0.0302269241073553,0.0154485398860756,0.0154209565845905,13
US-AR2,0.00047927298463,0.0004742619568851,0.0218923042329965,0.021777556265227,-2.9255890334178503,-2.8845451269332965,0.0335854135800883,0.0334435104611739,0.016978498877129,0.0169074350269514,13
US-ARM,0.0005312398326588,0.0005298581132875,0.0230486405815792,0.0230186470776971,0.4068806316865442,0.4084232956026896,0.029276266741819,0.0292141514091622,0.0156785980366524,0.0156464273354798,13
US-ARb,0.0006210041035044,0.000624077318999,0.0249199539225994,0.024981539564227,0.5069365686724973,0.5044965039959411,0.0312339318396872,0.031378992750246,0.0167769693285372,0.0168601452025337,13
US-ARc,0.0004408726904945,0.0004429531639837,0.0209969686025034,0.0210464525272971,0.593435361999215,0.5915167878410335,0.0283437919132272,0.0284465740480854,0.0151360987363913,0.0151935375530403,13
US-Atq,0.000188477293621,0.0001912643064805,0.0137287032752939,0.0138298339281639,-2.8633899876089624,-2.92051791729201,0.0220713600205622,0.0222354719751445,0.0111404950515563,0.0112231472985804,13
US-BZB,0.0001257421735421,0.0001240149089109,0.0112134817760645,0.0111361981354008,0.28870084365782,0.2984716456120257,0.0178869881399648,0.0177489466033469,0.0091432198415112,0.0090709700182783,13
US-BZF,0.0001657895383167,0.0001650450886048,0.0128759286390052,0.0128469875303451,0.3754848091855736,0.378289088385614,0.0191061959610779,0.0190545510353849,0.0097655958851393,0.0097400241848492,13
