site_left_out,mse_scaled,r2_scaled,relative_error,mae_scaled,rmse_scaled
CN-Ha2,6.375918e-05,0.8806568384170532,0.008789347,0.0046876767,0.007984934
CN-HaM,0.0001294257,0.6808986663818359,0.012685263,0.00664965,0.011376541
CN-Qia,0.00020515578,0.8354146480560303,0.015558804,0.008621411,0.014323261
CN-Sw2,0.0001709177,-0.1798381805419922,0.017240686,0.008587424,0.01307355
CZ-BK1,0.0002566515,0.8606990575790405,0.016318813,0.009119156,0.016020346
CZ-BK2,0.0004075477,0.5395933389663696,0.020320516,0.010912359,0.02018781
CZ-KrP,0.0003950622,0.6066491603851318,0.01809749,0.009707673,0.01987617
CZ-Lnz,0.00026696362,0.878626823425293,0.015856357,0.009063326,0.01633902
CZ-RAJ,0.00011184547,0.8936171531677246,0.011525188,0.006265103,0.0105757015
CZ-Stn,0.00019206112,0.8760689496994019,0.015221521,0.00822576,0.013858612
CZ-wet,0.00021971803,0.7651377320289612,0.014140863,0.007848431,0.014822889
DE-Geb,0.00037207655,0.7157987952232361,0.017289724,0.009431666,0.019289287
DE-Gri,0.00032542305,0.747026801109314,0.017956417,0.009730432,0.018039485
DE-Hai,0.00019320889,0.8788661360740662,0.013910178,0.007648038,0.013899961
DE-HoH,0.00020101643,0.8832961320877075,0.015390975,0.008435271,0.0141780265
DE-Hte,0.00016934576,0.6892107725143433,0.013165516,0.0069724536,0.013013292
DE-Hzd,0.0004101109,0.7038018703460693,0.024170026,0.012916421,0.020251194
DE-Kli,0.00042807305,0.6776881814002991,0.019755468,0.010778826,0.020689927
