site_id,mse,rmse,r2,relative_error,mae
CZ-RAJ,0.0042715305462479,0.0653569471919241,0.7692457437515259,0.168489396572113,0.0506692118942737
CZ-Stn,0.0026429493445903,0.0514096230738011,0.6829392910003662,0.1200053691864013,0.0397914014756679
CZ-wet,0.0046847034245729,0.0684448933418187,0.7179950475692749,0.1550136357545852,0.0506190247833728
DE-Geb,0.0027359093073755,0.0523059203855122,0.4813793897628784,0.0835886225104332,0.0355129800736904
DE-Gri,0.003676600055769,0.0606349738663181,0.5032718777656555,0.0864078179001808,0.0411326810717582
DE-Hai,0.00515739293769,0.0718149910373176,0.5824997425079346,0.1889092326164245,0.054085124284029
DE-HoH,0.0046755098737776,0.0683777001205629,0.6114280819892883,0.151758000254631,0.0528051815927028
DE-Hte,0.0038973854389041,0.0624290432323303,-0.1149046421051025,0.1284372210502624,0.0498552061617374
DE-Hzd,0.0068757692351937,0.0829202582918898,-0.123907446861267,0.1333147436380386,0.0654401257634162
DE-Kli,0.0030201005283743,0.0549554412990589,0.5591487288475037,0.1026548668742179,0.0361074693500995
DE-Lkb,0.0053071910515427,0.0728504704963719,0.716039776802063,0.1909889429807663,0.0516884215176105
DE-Lnf,0.0046614990569651,0.0682751715996753,0.7712647318840027,0.2225944101810455,0.0512867830693721
DE-Obe,0.0035592357162386,0.0596593305044451,0.6741559505462646,0.1181319579482078,0.0419823192059993
DE-RuR,0.0043469597585499,0.0659314777519048,0.5001335144042969,0.112256146967411,0.0517534986138343
DE-RuS,0.0054364874958992,0.0737325402783547,0.4247982501983642,0.1905905604362487,0.0470301322638988
DE-RuW,0.0029441812075674,0.0542603096891959,0.280677855014801,0.1090006828308105,0.0435691811144351
DE-Seh,0.0094737578183412,0.0973332308019273,0.3840696811676025,0.3525553941726684,0.0690666288137435
DE-SfN,0.0096350330859422,0.0981582043740729,-0.1435039043426513,0.1763375699520111,0.0792561545968055
DE-Tha,0.0028780200518667,0.0536471812108219,0.7817134857177734,0.0943608433008194,0.0363823659718036
DK-Fou,0.0284527130424976,0.1686793201388292,0.4773067235946655,0.4111205637454986,0.0990518778562545
DK-Gds,0.0010369676165282,0.0322019815621379,0.3159165978431701,0.1123081445693969,0.0194951873272657
DK-Skj,0.0032057978678494,0.0566197656993515,-0.4104660749435425,0.1473971605300903,0.044839859008789
DK-Sor,0.0186209641396999,0.1364586535903822,-0.040167212486267,0.2380092740058899,0.0698391869664192
DK-Vng,0.001333906664513,0.0365226869837509,0.2325989007949829,0.1202435344457626,0.0275276787579059
ES-Abr,0.0099129928275942,0.0995640137177799,0.2767677307128906,0.2178816050291061,0.0736402124166488
ES-Agu,0.0062376544810831,0.0789788229912497,0.2073103189468383,0.1693736910820007,0.0565222166478633
ES-Amo,0.0067193084396421,0.0819713879328768,0.1406435966491699,0.194306805729866,0.0624666064977645
ES-LJu,0.0065911090932786,0.0811856458573721,0.0361314415931701,0.1530240029096603,0.0622038468718528
ES-LM1,0.0038127130828797,0.0617471706467574,0.6564644575119019,0.1188702061772346,0.0482787005603313
ES-LM2,0.0041962247341871,0.064778273627715,0.6686303615570068,0.1362022757530212,0.0506293624639511
ES-LgS,0.0100603653118014,0.1003013724322924,0.4777997136116028,0.2186200618743896,0.0768051296472549
FI-Hyy,0.0041987434960901,0.0647977121208008,0.7359767556190491,0.1983755230903625,0.0516339130699634
FI-Ken,0.0054420856758952,0.0737704932604846,0.7565129995346069,0.2226179540157318,0.0504700765013694
FI-Let,91372.609375,302.27902569480403,-23414432.0,544.5468139648438,251.36642456054688
FI-Lom,0.0112990960478782,0.1062972062091862,0.6882565021514893,0.2932297587394714,0.0667639672756195
FI-Qvd,0.0027119868900626,0.0520767403939867,0.8630132079124451,0.1717039495706558,0.0362682864069938
FI-Sii,0.0038454965688288,0.0620120679289831,0.6376814842224121,0.2098503410816192,0.0453149080276489
FI-Sod,0.0044279391877353,0.0665427620987836,0.447327196598053,0.138473093509674,0.049490999430418
FI-Var,0.0039520654827356,0.0628654554006859,0.5733672380447388,0.1333153694868087,0.0377411805093288
FR-Aur,0.002522072289139,0.0502202378443096,0.1884788274765014,0.0987036675214767,0.0344493202865123
FR-Bil,0.0050942855887115,0.0713742641903333,0.5247724056243896,0.1390714198350906,0.0551552660763263
FR-EM2,0.0039332532323896,0.062715653806603,0.4645106792449951,0.1937803924083709,0.0447004847228527
FR-FBn,0.0050756083801388,0.0712433041073957,0.6916685104370117,0.1261431872844696,0.0545183345675468
FR-Fon,0.0061185858212411,0.0782213897935925,0.390585720539093,0.1543381959199905,0.0608405023813247
FR-Gri,0.0076110074296593,0.0872410879669629,0.4681978821754455,0.3087717890739441,0.056373044848442
FR-Hes,0.0048983423039317,0.0699881583121867,0.4741919040679931,0.1631205677986145,0.0557192787528038
