site,test_loss,mse,r2,relative_error,mae,rmse
CN-Sw2,0.0002504989679437,0.0002504988224245,-0.7287774085998535,1.1949905157089231,0.0119704585522413,0.0158271547406911
CZ-BK1,0.0006961047765798,0.0006961057079024,0.6221892833709717,3.0547776222229004,0.0203804392367601,0.0263838153332471
CZ-BK2,0.0004514132160693,0.0004514130414463,0.4900743961334228,2.878839492797852,0.0171878281980752,0.0212464835494756
CZ-KrP,0.0003814875672105,0.0003814875090029,0.6201953887939453,3.2077999114990234,0.0130027057603001,0.0195317044854164
CZ-Lnz,0.0006489857914857,0.0006489861989393,0.7049648761749268,2.6752243041992188,0.0175432171672582,0.0254752077162265
CZ-RAJ,0.0002607820206321,0.0002607820788398,0.751964807510376,1.5960509777069092,0.0128203360363841,0.0161487478762865
CZ-Stn,0.0003251222951803,0.0003251225280109,0.7902185916900635,1.525404930114746,0.0118672437965869,0.0180311538279056
CZ-wet,0.0002141550939995,0.0002141550648957,0.7710904479026794,2.4978089332580566,0.010665288195014,0.0146340383216738
DE-Geb,0.0004943940439261,0.0004943950334563,0.6223790049552917,2.3554186820983887,0.0129360472783446,0.0222349949181079
DE-Gri,0.0003630054125096,0.0003630051505751,0.7178177833557129,3.061352014541626,0.012381924316287,0.0190526936203241
DE-Hai,0.0004452180291991,0.0004452193097677,0.7208723425865173,2.015486717224121,0.0153395887464284,0.0211002212017774
DE-HoH,0.0006189087289385,0.0006189089035615,0.6407095193862915,2.459097623825073,0.0183739606291055,0.02487787976861
DE-Hte,0.0003205951361451,0.0003205949615221,0.4116687178611755,4.285619735717773,0.0132152354344725,0.0179051663726568
DE-Hzd,0.0006220001960173,0.0006219997885636,0.5507879853248596,3.721060991287232,0.0202204305678606,0.0249399244785308
DE-Kli,0.0005349472630769,0.0005349467392079,0.5972031354904175,3.1129510402679443,0.0148413619026541,0.0231289155781269
DE-Lkb,0.0002784416137728,0.000278441759292,-0.6247644424438477,3.374407768249512,0.0106989676132798,0.0166865736246109
DE-Lnf,0.0006821350543759,0.0006821369752287,0.6086174249649048,2.790869951248169,0.0198747981339693,0.0261177513748407
DE-Obe,0.0005053339991718,0.000505334988702,0.640779972076416,3.311340570449829,0.0176958721131086,0.0224796570837497
DE-RuR,0.0007869526161812,0.0007869536639191,0.5040197372436523,3.3140106201171875,0.0226900074630975,0.028052695095539
DE-RuS,0.0012773751514032,0.001277377596125,0.3815739154815674,2.570167303085327,0.0201100725680589,0.0357404202222824
DE-RuW,0.0010394070995971,0.0010394058190286,0.4385599493980407,6.599822521209717,0.0252280123531818,0.0322398170828819
DE-Seh,0.0011969733750447,0.0011969746556133,0.2975646257400512,1.1925441026687622,0.0180283561348915,0.0345973223447799
DE-SfN,0.0002983583835884,0.000298358296277,0.1917155981063842,3.476388931274414,0.0139378951862454,0.0172730516642332
DE-Tha,0.0003341202100273,0.0003341205883771,0.634635865688324,3.0957627296447754,0.0141394864767789,0.0182789657264947
DK-Fou,0.0004816074506379,0.0004816073342226,0.3819628953933716,2.933659315109253,0.0144493402913212,0.0219455547630786
DK-Gds,0.0009291472379118,0.0009291472961194,0.3423358201980591,5.056323051452637,0.0231629461050033,0.0304819177836179
DK-Skj,0.0004030742857139,0.0004030743148177,0.500760018825531,2.1912407875061035,0.0134989721700549,0.020076710730791
DK-Sor,0.0010281088761985,0.0010281089926138,0.5434632301330566,11.830455780029297,0.0210551340132951,0.032064139842987
DK-Vng,0.0004063106025569,0.000406310748076,0.6460011601448059,1.7759555578231812,0.0124793974682688,0.0201571509242057
ES-Abr,0.0002255805738968,0.0002255806466564,0.4777666926383972,2.1414341926574707,0.0094072790816426,0.015019342303276
ES-Agu,0.0001021935167955,0.0001021934585878,-0.0634719133377075,6.167835712432861,0.0069711338728666,0.0101090781390666
ES-Amo,9.6629599283915e-05,9.662955562816931e-05,-0.6444140672683716,1.406065821647644,0.0063679413869977,0.0098300334066152
ES-LJu,3.273634865763597e-05,3.27363632095512e-05,-0.0581496953964233,0.8591850399971008,0.0038995163049548,0.0057215699926018
ES-LM1,0.000478289934108,0.0004782891483046,0.2699031829833984,2.2796506881713867,0.015953904017806,0.0218698233366012
ES-LM2,0.0003432894300203,0.000343288964359,0.4543754458427429,2.7989420890808105,0.0131205478683114,0.0185280591249465
ES-LgS,4.655688826460391e-05,4.655686643673107e-05,0.5360674858093262,2.1730105876922607,0.0042829178273677,0.0068232594057917
FI-Hyy,0.0003467900387477,0.000346789631294,0.5107572674751282,2.4541454315185547,0.0137987211346626,0.018622288480401
FI-Ken,0.0003174951998516,0.000317495141644,0.0314236283302307,2.59529447555542,0.012832480482757,0.0178183931857347
FI-Let,0.0005434728227555,0.0005434729973785,0.4240865111351013,12.65323257446289,0.0175302438437938,0.0233125071972608
FI-Lom,0.0001860454067355,0.0001860454067355,0.1086158752441406,1.7449718713760376,0.0097727729007601,0.0136398458853363
FI-Qvd,0.0005006052087992,0.0005006050923839,0.5501756072044373,1.74379563331604,0.015180867165327,0.0223742052912712
FI-Sii,0.0002561155124567,0.0002561153087299,-1.9912638664245603,4.822624683380127,0.0130192721262574,0.0160036031156778
FI-Sod,0.0001310384104726,0.0001310384104726,0.4788908362388611,3.176274538040161,0.0088313361629843,0.011447200551629
FI-Var,0.0001236247917404,0.0001236247626366,0.3132197856903076,1.8462997674942017,0.0082653788849711,0.0111186672002077
FR-Aur,0.0006537161534652,0.0006537156295962,0.4390667080879211,2.7234816551208496,0.0138720078393816,0.0255678631365299
FR-Bil,0.0009567069937475,0.0009567070519551,0.2317085862159729,2.1786530017852783,0.0201788749545812,0.0309306811541318
FR-EM2,0.001995004247874,0.0019950012210756,0.2226983308792114,2.154852390289306,0.0214048195630311,0.0446654371917247
FR-FBn,0.0003617783950176,0.0003617777256295,0.6033052206039429,3.2904980182647705,0.0147672202438116,0.0190204549580812
FR-Fon,0.0008430669549852,0.0008430675952695,0.605415940284729,2.1707825660705566,0.0182606466114521,0.0290356259793043
FR-Gri,0.0008585206815041,0.0008585200412198,0.4258243441581726,2.113332748413086,0.0148304104804992,0.0293005127459764
FR-Hes,0.0010406693909317,0.001040669856593,0.5313506126403809,6.148703575134277,0.0250610597431659,0.0322594158351421
FR-LBr,0.0006314350757747,0.0006314340280368,0.5116415023803711,2.5489625930786133,0.0181172471493482,0.0251283515244722
FR-LGt,0.0002482258423697,0.000248225958785,0.6595323085784912,2.6617000102996826,0.0119098387658596,0.0157551877200603
FR-Lam,0.0009649021667428,0.0009649056592024,0.4122906923294067,2.795736789703369,0.0154061410576105,0.0310629308223724
FR-Mej,0.0011320051271468,0.0011320052435621,0.3781098127365112,2.351373672485352,0.0220529288053512,0.033645287156105
FR-Pue,0.0003792257339227,0.0003792253555729,0.2981276512145996,4.4153337478637695,0.0162480939179658,0.0194737091660499
FR-Tou,0.0004485588287934,0.0004485590034164,0.3643284440040588,5.905684947967529,0.0140235917642712,0.021179212257266
GF-Guy,0.0015844153240323,0.0015844159061089,0.5715916752815247,4.470747470855713,0.0311083309352397,0.0398047231137752
GH-Ank,0.001584509271197,0.001584508572705,0.4926682114601135,3.402059316635132,0.0281973779201507,0.0398058854043483
GL-NuF,7.67610254115425e-05,7.676096720388159e-05,0.3483174443244934,2.7028536796569824,0.0071313800290226,0.0087613333016633
GL-ZaF,0.0001374541898258,0.0001374541898258,0.0620127916336059,1.8918328285217283,0.0076998653821647,0.0117240855470299
GL-ZaH,4.741182419820689e-05,4.741188604384661e-05,-1.9396321773529053,0.8303496837615967,0.0040410947985947,0.0068856291472911
IL-Yat,0.0001759584265528,0.0001759585866238,0.2439432740211486,1.7526962757110596,0.0092240432277321,0.0132649382576346
IT-BCi,0.0021402852144092,0.0021402835845947,0.1405157446861267,2.0069522857666016,0.0267113670706748,0.0462631992995739
IT-BFt,0.0013338000280782,0.0013338002609089,0.5086007714271545,3.108046770095825,0.0261951927095651,0.0365212298929691
IT-CA1,0.0003495712880976,0.0003495714918244,0.5786213874816895,3.214843511581421,0.0119903590530157,0.0186968315392732
IT-CA2,0.0006114462739787,0.0006114466232247,0.2985271215438843,2.4586641788482666,0.0174269285053014,0.0247274469584226
IT-CA3,0.0005951176281087,0.000595117569901,0.4803944826126098,2.483598232269287,0.0142071424052119,0.0243950318545103
IT-Col,0.0007887808023951,0.0007887828978709,0.5089014172554016,2.290684223175049,0.0201183184981346,0.0280852783471345
IT-Cp2,0.0008626135531812,0.0008626132621429,0.412261962890625,5.769672393798828,0.0240402948111295,0.0293702781200408
IT-Cpz,0.0007271518697962,0.0007271509384736,0.404664397239685,3.086019277572632,0.0227525904774665,0.0269657354801893
IT-Isp,0.0010530876461416,0.0010530875297263,0.5674967765808105,3.061664342880249,0.0213693138211965,0.0324513092637062
IT-La2,0.0042186779901385,0.0042186779901385,-1.2461965084075928,5.538337707519531,0.0403581224381923,0.0649513527750969
IT-Lav,0.0011256186990067,0.0011256192810833,0.4760928153991699,4.625173568725586,0.0285970214754343,0.0335502512753009
IT-Lsn,0.0001979980297619,0.0001979977678274,0.7333468198776245,2.942570209503174,0.0114180538803339,0.0140711683779954
IT-MBo,0.0004796706489287,0.0004796708235517,0.6679096221923828,1.9756888151168823,0.0147167034447193,0.0219013877213001
IT-Noe,0.0002919227117672,0.0002919222170021,0.405784010887146,4.284006595611572,0.0107710324227809,0.0170857310295104
IT-PT1,0.0006655101897194,0.0006655101315118,0.6431064605712891,2.0190179347991943,0.0156485624611377,0.0257974825799465
IT-Ren,0.0003784740110859,0.0003784738364629,0.6924165487289429,1.9566088914871216,0.0130127472802996,0.0194544047117233
IT-Ro1,0.0003870707005262,0.000387071078876,0.6683121919631958,2.0923948287963867,0.0130652720108628,0.0196741223335266
IT-Ro2,0.0004076011537108,0.0004076012701261,0.7102336287498474,2.645610809326172,0.0128293577581644,0.0201891381293535
IT-SR2,0.000911230512429,0.000911230163183,0.6027693748474121,4.589835166931152,0.0226236879825592,0.0301865898072719
IT-SRo,0.0006440756260417,0.00064407591708,0.577422022819519,2.7775988578796387,0.0191423259675502,0.0253786500543355
IT-Tor,0.0001994937629206,0.0001994938356801,0.7345420122146606,1.50830340385437,0.0090265311300754,0.014124228619039
JP-SMF,0.0004311082884669,0.0004311085504014,0.5726755857467651,4.392024517059326,0.0168658327311277,0.0207631532102823
MX-Tes,0.0004804130585398,0.0004804126219823,-4.311294555664063,295.35272216796875,0.0116614717990159,0.0219183173030614
