site_left_out,mse,rmse,r2,relative_error,mae
IT-CA3,0.0004892448094008,0.022118879026769,0.5727590067228223,0.0209841195109275,0.0117910549572775
IT-Col,0.0005807065793337,0.0240978542474992,0.6385975018055519,0.0317149578690826,0.017189770934801
IT-Cp2,0.0005969424821167,0.0244324063922643,0.5932532746060063,0.0354525046010087,0.019134146737188
IT-Cpz,0.0003514289234063,0.0187464376190868,0.7122899474152151,0.0275286655456222,0.014792325815739
IT-Isp,0.0011406631891295,0.0337737055877726,0.5314164225668744,0.0353975719352136,0.0205609507702688
IT-La2,0.0008657705607941,0.0294239793500832,0.5389203301082466,0.0396505088853808,0.0215814373328531
IT-Lav,0.0008412645680813,0.029004561159951,0.6084343889292136,0.0381190115089678,0.0211616688610083
IT-Lsn,0.000178723888898,0.0133687654216115,0.7592879530949552,0.0168012501222374,0.0090215267040162
IT-MBo,0.000508604506227,0.0225522616654531,0.6478712532150475,0.0294878953800895,0.0160317237618813
IT-Noe,0.0002312116325917,0.0152056447608044,0.529507434165297,0.0202120161001811,0.0105357252874778
IT-PT1,0.0007921982027934,0.0281460157534504,0.5751087515467774,0.0302488133532622,0.0172087374678497
IT-Ren,0.000404947195976,0.0201232998282098,0.6708933018856555,0.026517706590578,0.0142967415559737
IT-Ro1,0.0003977576607999,0.0199438627351854,0.6591425819030107,0.0224379600287982,0.0123691969519664
IT-Ro2,0.0005930761949857,0.0243531557500411,0.5783598095202884,0.0289865245230148,0.015852583436742
IT-SR2,0.0010115527722933,0.0318049174231501,0.5590385559608015,0.0394366055359273,0.0223994799190766
IT-SRo,0.000543682571284,0.0233170017644639,0.6432800577236903,0.0294746533795196,0.0162697656553454
IT-Tor,0.0003232138019116,0.0179781478999272,0.5698940533980043,0.026163940581648,0.013503171709866
JP-SMF,0.0003535872543283,0.0188039159306861,0.6496098681221302,0.0258222052024668,0.0136308031744722
MX-Tes,0.0006321709248893,0.0251430094636534,-5.990001209119403,0.037976346122891,0.019334003435614
MY-PSO,0.0008255106345551,0.028731700864291,0.6319238332786805,0.0459824929552339,0.0243672495511945
NL-Hor,0.000296411498929,0.0172166053253551,0.7166559913840634,0.0218840485028329,0.0118567007292204
NL-Loo,0.0003847330083114,0.0196146121121833,0.677273591345484,0.0262329746958017,0.0142014578131833
PA-SPn,0.0004695413034905,0.0216689017601379,0.706118629548501,0.0296525674894768,0.0161019626142377
