site_left_out,mse,rmse,r2
US-ARM,0.0005341508250518,0.0231117032053434,0.403630562954508
US-ARb,0.0006274466092251,0.0250488843908292,0.5018213625747527
US-ARc,0.0004465212683774,0.0211310498645349,0.5882263479874257
US-Atq,0.0001949087888685,0.0139609737793801,-2.995222177402576
US-BZB,0.0001242354904583,0.0111460975439081,0.2972238584602933
US-BZF,0.0001660274961583,0.0128851657404309,0.3745884420904409
US-BZS,0.0001397742033331,0.0118226140651341,0.6755155208402763
US-BZo,0.0002068933241031,0.0143837868485006,0.0647833240284386
US-Bi1,0.0013604594313903,0.0368844063445564,0.486019829012782
US-Bi2,0.0021609584893446,0.046486110714327,0.4009017743745715
US-Blo,0.0002189264876382,0.0147961646259499,0.7805666164232666
US-CF1,0.0005676605489564,0.0238256279866116,0.4139034991300689
US-CF2,0.0004658070333612,0.0215825631786681,0.4545726130691134
US-CF3,0.0006238294524185,0.0249765780766403,0.3658074535617033
US-CF4,0.0006481476192276,0.0254587434730716,0.3779487291374475
US-CRT,0.0012415211405136,0.035235225847349,0.2284334337540602
US-CS1,0.0006707513333514,0.0258988674144539,0.4735763254647348
US-CS3,0.0008455353567752,0.029078090665917,0.4897567355915837
US-CS4,0.0007922172833733,0.0281463547084402,0.5276499680454702
US-EDN,0.000263225934595,0.0162242391068144,-0.2851308304250219
US-GLE,0.0002865593697275,0.0169280645594104,0.2880560863214902
US-Goo,0.0003924688403143,0.0198108263410285,0.6781845958508506
US-HB1,0.0005339440946552,0.0231072303544857,-0.0864429522403815
US-HWB,0.0013615289200285,0.0368989013390451,0.476016268493576
US-Hn3,0.0001761571166807,0.013272419398162,-0.0377439177539835
US-Ho2,0.0005701354848709,0.023877510022423,0.5811205497517729
US-IB2,0.0004977878085182,0.0223111588340504,0.5913753649691167
US-ICs,0.0002069001387337,0.0143840237323835,-2.690234448250759
US-ICt,0.0002247611267315,0.0149920354432446,-3.2117390019708463
US-Ivo,0.0001820638086828,0.0134931022631147,-0.929753683036455
US-Jo2,0.0003544051862506,0.0188256523459512,-3.804483102906493
US-KFS,0.0003756995010004,0.0193829693545753,0.567158242222815
US-KLS,0.0005675239426028,0.0238227610197231,0.3937796033774624
US-KS1,0.0002154437268252,0.0146780014588256,0.8160480398246732
US-KS2,0.0002216623111643,0.0148883280177584,0.790570503288058
US-KS3,0.0002132898441247,0.0146044460396398,0.7399943084665286
US-LWW,0.0006508961700992,0.0255126668558828,-1.1946562464210673
US-Lin,0.0004483565105657,0.0211744305842144,-1.490497403605522
US-Los,0.0003293975864609,0.0181493136636329,0.5487766893426067
US-MOz,0.0005319028786456,0.0230630197208791,0.6259148026297613
US-Me1,0.0002138244051559,0.0146227358984537,-1.279975610035906
US-Me2,0.0002702131908699,0.0164381626366795,0.729578510112068
US-Me3,0.0001965127248844,0.0140182996431246,0.2469775577816211
US-Me4,0.0006152351624155,0.0248039344140313,0.3019371519222784
US-Me5,0.0001594062736257,0.0126256197323455,0.419706550206146
US-Me6,0.0002166510784955,0.0147190719305098,0.4519898884631621
US-Mpj,0.0003272330660525,0.0180895844632356,-1.6437227364082934
US-Myb,0.0004907110220164,0.0221519981495223,0.5739253246442628
US-NC1,0.0007774151952725,0.0278821662586061,0.6294515549595696
US-NC4,0.00108527460995,0.0329435063396427,0.5140190451918374
US-NR1,0.0002730485804213,0.016524181686891,0.4149296381160038
US-ONA,0.000756754234396,0.0275091663704307,0.3703953677703903
US-OWC,0.0006735373176208,0.0259525975120194,0.5245891474625393
US-Oho,0.0009116958796419,0.030194302105562,0.6009995678856608
US-Prr,0.0002285440064657,0.0151176719922659,-0.8307081465911306
US-Ro1,0.0011082832825181,0.0332908888814664,0.3675995470752407
US-Ro4,0.0006640397126886,0.0257689680175328,0.5381530723532031
US-Ro5,0.0011281661380269,0.0335881845003108,0.4174205665386844
US-Ro6,0.0005650794975235,0.0237714008321663,0.4957850107691373
US-SRC,0.0005063611133891,0.0225024690509548,-18.8479822086455
US-SRG,0.0004818148994752,0.0219502824463659,-1.2224253358400317
US-SRM,0.0005181463555909,0.0227628283741484,-4.145484093812545
US-Seg,0.0005267958552422,0.0229520337931569,-11.984931067081632
US-Ses,0.0005667144361574,0.0238057647673295,-33.94808826932071
US-Sne,0.0004364673256916,0.0208918004415992,-0.0600745954853692
US-Snf,0.0002618616928908,0.0161821411713916,0.7418244043147794
US-Syv,0.0004816382771693,0.0219462588422112,0.5864409246489062
US-Ton,0.000367227345627,0.0191631768145844,0.2607442249434091
US-Tw3,0.0011239418393652,0.033525241824113,0.5065090816489333
US-Tw4,0.0003535703127752,0.0188034654459012,-0.1942692878902743
US-Twt,0.0010984732470301,0.0331432232444301,0.4372255218157406
US-Var,0.0006586321273078,0.0256638291630032,-0.0837875205071576
US-WCr,0.0005883927225037,0.0242568077558397,0.5679540388271072
US-WPT,0.0003620474106051,0.0190275434726901,0.2746327446392552
US-Whs,0.0005982999209984,0.0244601700934084,-22.01994630016037
US-Wi0,0.0006170595121654,0.0248406826026473,0.6099873726055828
US-Wi1,0.0020943525943307,0.0457640972196626,0.5180574986085066
US-Wi2,0.0004752734357447,0.0218007668613914,0.3542674353866568
US-Wi3,0.0006980247037778,0.0264201571489992,0.6397536062012772
US-Wi4,0.0007084701392922,0.0266171023834726,0.6197315414837734
US-Wi5,0.0004084362908982,0.0202098068001226,0.6196647884687142
US-Wi6,0.0004149487396802,0.0203702906135451,0.1060724882619782
US-Wi7,0.0005100120495505,0.0225834463612308,0.3519272699649417
US-Wi8,0.0005472739725408,0.0233938875038083,0.3005064581641093
US-Wi9,0.0006609182903611,0.0257083311469491,0.1095360933554043
US-Wjs,0.0003354680703338,0.0183157874614721,-1.546802278480083
US-Wkg,0.0005619035564673,0.0237045049825427,-5.416745343290003
US-xAE,0.0003002097027698,0.0173265606157082,-0.0460295623750117
US-xBR,0.0005006684937556,0.0223756227568232,0.6384268366899255
US-xCL,0.0002918078682497,0.0170823847354437,0.6828668478076874
US-xCP,0.000393115393632,0.0198271378073595,-3.155799864388066
US-xDC,0.0002155796297373,0.01468263020502,0.3981013063312775
US-xDL,0.0009348485937186,0.0305752938451718,0.5777566150948741
US-xDS,0.0001429746025167,0.0119571987738237,0.7748545876240414
US-xGR,0.0010019733982345,0.0316539633890383,0.5993145119192366
US-xHA,0.0007655222597908,0.0276680729323679,0.6014553439927977
US-xHE,0.0002513652659268,0.0158545030173394,-0.8022283761732196
