site,mse,r2,relative_error,mae,rmse
CA-SF1,0.011628305806957912,-0.006804440644289089,1.109554165187759,0.092362062868899,0.1078346224872045
CA-SF2,0.010760440439292435,-0.005495231892480801,1.2861386968910657,0.08612552857943094,0.10373254281705638
CA-SF3,0.0030786927915954438,-0.0032955375838708,1.6281137306131863,0.04269552710508749,0.055485969321941594
CA-TP1,0.009381205875468295,1.4403665305917634e-05,1.0051444768657583,0.07231803850552755,0.09685662535659754
CA-TP4,0.008320405337497467,-9.474457076374954e-05,1.0076323964781975,0.06896036175280801,0.09121625588401153
CA-TPD,0.012508981934564794,-0.001993824943326894,1.2690065427984423,0.08199379681955288,0.11184356009428882
CH-Aws,0.0077342079267871235,-0.00018074476511498183,1.0406369357332497,0.06582475499907961,0.08794434562146178
CH-Cha,0.009829200247226106,-0.001099160041910352,1.2707029454547363,0.0770868675906248,0.09914232318856617
CH-Dav,0.001854249650690098,-0.009514660290755872,1.9146502833474464,0.03357556382778386,0.04306099918360114
CH-Fru,0.008199284467786378,-0.00013539346010515985,1.002964853654277,0.07074340375530307,0.09054990042946695
CH-Lae,0.005253889654304459,-0.00044332949144210154,1.5239270753211214,0.05067404135637627,0.07248371992595619
CH-Oe1,0.02390754886238391,-0.0008907820670691624,1.1206506380174186,0.12257135245149656,0.15462066117561363
CH-Oe2,0.0047042975871642335,-0.00023174806689052474,1.0689903337682822,0.0449658059937332,0.06858788221810201
CN-Cha,0.01717644027262311,-0.0006412636868160515,1.138416425785631,0.09523764237261696,0.13105891908841272
CN-Cng,0.00826788213268192,-0.0010452233488962293,1.19913136465794,0.056239726382369036,0.09092789523948039
CN-Dan,0.01017452272138207,-0.001242484359778695,1.2553849972399669,0.06927497722808099,0.10086883919914054
CN-Din,0.023883771788315723,-0.00046702450682900576,1.0136050230524867,0.12845574717436997,0.15454375363732992
CN-Du2,0.0070681851872517664,-0.002066468129139798,1.0661806553770723,0.04685744050517228,0.08407249958965039
CN-Du3,0.0045874534037241696,-0.10451139616116167,1.3155497417723079,0.059095422762926904,0.06773074193986191
CN-Ha2,0.018335311604923226,1.4702292587043253e-05,1.159355799201132,0.08996560950373536,0.13540794513219387
CN-HaM,0.014558417607428991,-0.0016546010725853044,1.042762936181124,0.07601495194289767,0.12065826787845495
