site,mse,r2,relative_error,mae,rmse
CN-Qia,0.001392219061533416,0.9040092960583471,0.7276829070904606,0.021717857165073396,0.03731245182956242
CN-Sw2,0.0019353828247833055,0.6560565520389406,2.335461873279894,0.027104799874954857,0.0439929860862309
CZ-BK1,0.0007296332481984988,0.915739668245047,1.2792195665427946,0.015555115080759447,0.027011724272961526
CZ-BK2,0.0012332870157064268,0.9438163068181281,0.7804830090743661,0.01976518456197593,0.03511818639546221
CZ-KrP,0.0003658289451181231,0.9217281462790708,1.6393457928218225,0.009919427683613678,0.019126655356285455
CZ-Lnz,0.0005206993994762289,0.9540103285775816,0.6904909951329677,0.012778088497338018,0.02281883869692384
CZ-RAJ,0.0010495218082372368,0.9406541287933605,2.8236241989707542,0.019607816127248878,0.03239632399265751
CZ-Stn,0.0006331624535681311,0.9298223185947392,0.8063803866337036,0.014799356949347196,0.02516271951852842
CZ-wet,0.0005095436309875392,0.9348012939801168,0.6346366774118118,0.012765589126696461,0.02257307314008306
DE-Geb,0.0007058408869347055,0.871597170540237,1.3514156518025444,0.013106644005492113,0.026567666192850014
DE-Gri,0.0007621292529080222,0.8936068699536804,1.519459621100725,0.015094754254082944,0.027606688553827353
DE-Hai,0.0008847191174586427,0.9364409896038254,0.540445411351441,0.01608290493093918,0.029744228304977804
DE-HoH,0.0008343924690278097,0.9265163990754911,0.7526055424636864,0.017097032522561128,0.02888585240265223
DE-Hte,0.0005115171892663685,0.8484940729567806,0.9045310233318303,0.011200071120407244,0.02261674577091869
DE-Hzd,0.00069794577014366,0.8828496835734535,1.7432349077691838,0.015492663096936397,0.026418663292143683
DE-Kli,0.0007545764150459079,0.9030975790256158,1.5012352642991151,0.014355461662781677,0.02746955432921888
DE-Lkb,0.0011050880832920238,0.9304563519999356,0.823974675779501,0.021128001179783147,0.033242865148660455
DE-Lnf,0.0010032823557318484,0.9546209723460597,0.3669819482758284,0.017889284073805498,0.031674632685034385
DE-Obe,0.0010015656704813216,0.9341434130709532,0.7256247835588566,0.019998914399825398,0.03164752234348404
DE-RuR,0.0006259455153451821,0.9181827128023053,0.8706277658455994,0.014043990171522141,0.025018903160314247
DE-RuS,0.0017952759960196928,0.857950091611249,1.1363430885484114,0.022410733868428977,0.04237069737471515
DE-RuW,0.0007703386513140279,0.8096579830562006,1.3100769448876348,0.015940816542754397,0.027754975253349225
DE-Seh,0.0011964967417578947,0.940556612025557,0.8290113122206147,0.018550863176711507,0.0345904140154161
DE-SfN,0.0020594900569134624,0.7701594238526546,1.2173449946187398,0.02468194981706242,0.04538160482963843
DE-Tha,0.0009888842329250937,0.9181836881222705,1.0398584284876278,0.018624881017349125,0.03144652974375859
DK-Fou,0.00035313069944463915,0.9678170266580606,0.3152353739121613,0.010851786866337868,0.01879177212092141
DK-Gds,0.0011901604731894418,0.7758855405846352,1.9405297457729764,0.016473119879860963,0.034498702485592725
DK-Skj,0.0010584922670219086,0.8468346728353469,0.9601465781827349,0.015033560225443778,0.03253447812739446
DK-Sor,0.000494677214332278,0.9387532055982495,1.1286896165019038,0.01330111299909154,0.02224134020989468
DK-Vng,0.00026175314315033776,0.9824721989177718,1.4492692794695414,0.008843458461782541,0.016178786825665814
ES-Abr,0.0005744789243956845,0.9463778758958832,0.7170608835893048,0.014525447587997585,0.023968289976460243
ES-Agu,0.0011066057823948866,0.6885767193979988,1.7518894774235696,0.019445859093922484,0.03326568475764307
ES-Amo,0.0021235053533659952,0.730645231387415,4.488226537678956,0.028932236853052327,0.04608150771585057
ES-LJu,0.0012840638589144437,0.7210174714916963,2.387608101455498,0.021164060384398203,0.03583383678751752
ES-LM1,0.0007206302352999883,0.9335449136598303,2.4594399551659203,0.01710526073112295,0.026844556902656976
ES-LM2,0.0007719622369613827,0.9369230792838037,0.9729046180324472,0.017700833164707403,0.02778420840983926
ES-LgS,0.0016858761451288616,0.8972616237395648,0.9917313687454546,0.025961565630157946,0.04105942212365953
FI-Hyy,0.0007059722348152658,0.9544594537273233,0.5396994033516744,0.015634744397705118,0.026570138027779716
FI-Ken,0.0006188324717591579,0.9628953746946699,0.3392043866102626,0.01481077617636276,0.02487634361716283
FI-Let,0.000445282110129003,0.9246068414050772,1.1598803593113582,0.011841370353456183,0.021101708701643167
FI-Lom,0.00036899683738965487,0.9777547231329664,0.47346289243064105,0.010383179097759633,0.019209290392662996
FI-Qvd,0.0008747722674548274,0.9649787347352347,0.7455404151247553,0.017472678596177234,0.02957654928241
FI-Sii,0.0005267566441618574,0.9682982009090841,1.1402238675828273,0.013095471100370662,0.022951179581055466
FI-Sod,0.0005924273187232541,0.9214906567434733,0.854982820814335,0.013777346511779979,0.024339829882791993
FI-Var,0.000623049114653529,0.8790143925448233,1.4534152584301392,0.012283906039778383,0.024960951797828725
FR-Aur,0.0005641021684708984,0.8627412260905645,1.3192825271840247,0.012510015012529315,0.023750835111020798
FR-Bil,0.0010476863453623294,0.9112233492719444,0.9472884829676754,0.01941286679777458,0.03236798333789625
FR-EM2,0.0009090868311465623,0.9131965134778385,0.9757335220803736,0.016786528797158067,0.030151066832643954
FR-FBn,0.0010296061933608466,0.9249762902522367,0.9949934385711624,0.02086924307400124,0.03208747720467981
FR-Fon,0.0014674147152777674,0.8344478309201729,1.3425202130017775,0.021592758771103397,0.0383068494564323
FR-Gri,0.001604041491988723,0.8383878072266139,1.4513518930052731,0.02028026150779299,0.040050486788411485
FR-Hes,0.001066863523699737,0.9070002580697033,1.0580746725837205,0.019343992492951628,0.0326628768435932
FR-LBr,0.0013410780703780557,0.88803582308131,1.0230474524211186,0.022896246768954173,0.03662073279411617
FR-LGt,0.0004499746700617455,0.934550992314537,0.7422908167702046,0.012588152873438258,0.02121260639482441
FR-Lam,0.0010339256083861472,0.831136182268758,1.6524773133591537,0.01693949004308859,0.03215471362625
FR-Mej,0.0006149359188221871,0.9351401950230911,0.6758391508177319,0.014583358495594402,0.02479790150037271
FR-Pue,0.0021460461694237645,0.8903821619029277,1.4643740308608373,0.028532238348237014,0.0463254376063925
FR-Tou,0.0006363106921693424,0.9441260687055082,1.071317800405294,0.016479412233667553,0.02522519954667044
GF-Guy,0.002546402755684113,0.8219184361378815,1.4707550255237012,0.031324796245698235,0.050461894095288506
GH-Ank,0.0018011962301367676,0.8225112222108649,2.1972791782346897,0.024339893561675294,0.04244050223709384
GL-NuF,0.0006678930589457168,0.9410354240921888,0.973923989996685,0.015808346284620363,0.0258436270470249
GL-ZaF,0.0009974836575706678,0.9670837266344253,0.8139941391802218,0.019676024333675348,0.031582964673549374
GL-ZaH,0.0016613879974900737,0.8859712367725123,2.173686265191256,0.026776596653894653,0.04076012754506631
IL-Yat,0.0010148904118470914,0.8966096853407332,1.3714671388377762,0.01855477262390894,0.03185734470804325
IT-BCi,0.0015260826129990196,0.7855246102574682,2.716232077397499,0.021997238809936284,0.03906510735936892
IT-BFt,0.0008185351874556557,0.8846611606045623,1.4123340287430377,0.01730504493509169,0.028610053957580293
IT-CA1,0.0010419234070593278,0.9407327262973815,0.798608210664824,0.019041836166416623,0.03227883837840711
IT-CA2,0.0010407551251579619,0.9253761610139064,0.9894785734928396,0.018252945877063897,0.03226073658734348
IT-CA3,0.0005371965323556148,0.9601701493596798,0.5350437186094525,0.01304329086223115,0.023177500563167176
IT-Col,0.001048055667927458,0.9266663277919429,0.7608132712083651,0.017906715857519833,0.03237368789507086
IT-Cp2,0.0010734634461910697,0.8605867486748857,0.994519518401086,0.02107637574704715,0.032763752016383436
IT-Cpz,0.0015939182986015492,0.9071154626986626,0.9938197214468247,0.026052835931130322,0.039923906354483264
IT-Isp,0.0012327873206205908,0.9411795717615488,0.8229472277728025,0.02146209047763444,0.03511107119728179
IT-La2,0.0019218249035457306,0.8871742281822999,0.8011430355830084,0.025785021361003062,0.04383862342211181
IT-Lav,0.0011589368861258786,0.8930479349625635,1.018938006635655,0.0193878869951735,0.03404316210527275
IT-Lsn,0.0006859518063002834,0.9447032778697454,16.54193038580799,0.015681030849582406,0.02619068166925564
IT-MBo,0.0007867559895545057,0.9297138614545543,0.6219273177053176,0.016120783248835577,0.028049170924547943
IT-Noe,0.0014713835504648184,0.915274556099905,0.9841057520345328,0.024265415228678918,0.03835861768188237
IT-PT1,0.0015684540970933457,0.9228067654042768,0.8225859805907207,0.023768303135339654,0.03960371317305166
IT-Ren,0.0007543970208620705,0.8822826352897629,0.866601300858577,0.01505448777325313,0.027466288807592307
IT-Ro1,0.0009375590249514167,0.9274073536961587,1.0133151035739563,0.01786786924017007,0.030619585643039272
IT-Ro2,0.0015167213430448074,0.8912181756178653,0.8960457863362591,0.021777764903196294,0.038945106792058065
IT-SR2,0.0011052633801039028,0.8710499702769637,1.0952216925565985,0.021080394884577743,0.033245501652161946
IT-SRo,0.0011274960286141466,0.8849468271926688,4.923099018012652,0.021271834072718376,0.033578207644455155
IT-Tor,0.0003058829522574761,0.8915102754940171,1.3782415354070094,0.009515553637357241,0.017489509777505945
JP-SMF,0.0016152188899097978,0.8624497379601908,1.1862427102555209,0.025199646651416985,0.04018978589032041
MX-Tes,0.0004939455118295084,0.37388677083672417,2.28560299609193,0.00910451773702014,0.022224884967745242
MY-PSO,0.0026313324134302003,0.8615318485217469,0.8715780511887198,0.029627211692993913,0.05129651463238219
NL-Hor,0.0017729861114273713,0.905671777599243,0.7376449262539095,0.024264085410104594,0.04210684162256024
NL-Loo,0.0011824320180752398,0.8932165953706778,0.9482728624469589,0.02068800719887253,0.034386509245272916
PA-SPn,0.001382619350545125,0.9340484547682858,0.6126233974064538,0.021985748897454062,0.03718358980175428
PA-SPs,0.0014044547328910264,0.9563055352892473,0.903753105429868,0.023373773881945763,0.0374760554606675
RU-Che,0.0006458068465422268,0.9723248980938571,0.4834693992970049,0.014835992040318179,0.025412730009627592
RU-Cok,0.002072808238228119,0.9022826103399363,0.8789808334514146,0.02973494589700875,0.0455281038286037
RU-Fy2,0.0008172716310216496,0.9406119978012767,1.1151974698631526,0.016520659080909904,0.02858796304428928
RU-Fyo,0.0012012106844969711,0.9259865350344187,1.0985505349382265,0.020310330812945893,0.03465848647152629
RU-Ha1,0.0014556885843732424,0.9380646407755704,0.6542286715865073,0.021781104983774245,0.0381534871849644
SD-Dem,0.0008139406431718827,0.9376875461449933,0.9753681986322973,0.015278177647908231,0.028529644988535743
SE-Deg,0.0003098310797553238,0.873530835962688,0.9059655284680154,0.009231195165434056,0.017602019195402663
SE-Htm,0.001218746460344633,0.9267218500670279,0.7495701575396728,0.0216695162733673,0.0349105494133884
