test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
US-AR1,0.0003155434789169,0.00031487475,0.0177635435349173,0.01774471,0.4475473676026519,0.4487181901931762,0.0265850530241185,0.026826605,0.0106667818305692,0.010756609,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-ARM,0.0010666366726616,0.0010675912,0.0326594040463337,0.032674015,0.5019730937561846,0.5015273690223694,0.0408512373194915,0.040835682,0.0181413659206473,0.018137673,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-ARb,0.0009626445455843,0.00096264464,0.0310265135905469,0.031026514,0.6803614856426347,0.6803615093231201,0.0440399625648927,0.044039965,0.0190836599101589,0.019083658,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-BZB,0.0002397450605439,0.00023974507,0.0154837030630255,0.015483703,0.4328397206368729,0.4328396916389465,0.0241388921778859,0.024138888,0.009728159913989,0.009728161,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-Bi2,0.0037389368155309,0.0037010713,0.0611468463253091,0.06083643,0.5665045373270494,0.570894718170166,0.05478010298734,0.05430357,0.0288013751374711,0.028587986,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-CF1,0.0006857717156635,0.0006942547,0.0261872433765671,0.026348714,0.7038956354795088,0.7002328634262085,0.0261678191776516,0.026736476,0.0118626238884493,0.012091235,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-CS3,0.0013412609643612,0.001341261,0.0366232298461134,0.03662323,0.6615117347373509,0.6615117788314819,0.037780810154889,0.03778081,0.0177840230526629,0.017784022,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-EDN,0.0002809622646329,0.00028096227,0.0167619290248164,0.016761929,0.4263440842725189,0.4263440370559692,0.0256333289083941,0.025633328,0.0106278568971238,0.010627856,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-IB2,0.000765122381751,0.0007732543,0.0276608456441777,0.02780745,0.7373387456312019,0.7345471382141113,0.0360122994933053,0.036423147,0.0156373318987769,0.01580949,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-KS2,0.0005834929268014,0.00058505515,0.0241555982497115,0.024187913,0.7694493195535611,0.7688320279121399,0.03896107068312,0.039297257,0.0165465213606142,0.016691338,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
US-Me4,0.00183993138863,0.0018820739,0.0428944214161937,0.043382876,0.1269485715398836,0.1069517731666565,0.072494659688605,0.073344395,0.0307128745007452,0.03112752,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
