site_id,mse,rmse,r2,relative_error,mae
DE-Seh,0.0008164046448655,0.0285727955381608,0.5168962478637695,0.0324614085257053,0.0180280786007642
DE-SfN,0.000275637517916,0.0166023347128058,0.2470816969871521,0.0247180927544832,0.0126233510673046
DE-Tha,0.0006794937653467,0.0260671012072057,0.25078284740448,0.0361233502626419,0.0189157053828239
DK-Fou,0.0003973399871028,0.0199333887511104,0.4855406880378723,0.0280540119856596,0.0148163456469774
DK-Gds,0.0006908395444042,0.0262838266697278,0.5067117810249329,0.0330953076481819,0.0177763700485229
DK-Skj,0.0002684987557586,0.0163859316414608,0.6655554175376892,0.0215632691979408,0.011284140869975
DK-Sor,0.0016902722418308,0.0411129206190806,0.2431697249412536,0.0477032363414764,0.0266855843365192
DK-Vng,0.0009470547083765,0.0307742539857025,0.167659044265747,0.0336635373532772,0.0180515926331281
ES-Abr,0.0002789834979921,0.0167027991065018,0.3487158417701721,0.0229077003896236,0.0118042863905429
ES-Agu,0.0004313683020882,0.0207694078415401,-3.5263161659240723,0.0290683470666408,0.0146318320184946
ES-Amo,0.0008586847106926,0.0293033225196839,-13.721068382263184,0.0410789884626865,0.0203206967562437
ES-LJu,0.0005240138270892,0.0228913483021254,-16.07943344116211,0.033915389329195,0.0170644372701644
ES-LM1,0.0002402718237135,0.0155007039747734,0.6301761865615845,0.0210124142467975,0.0110424375161528
ES-LM2,0.000228201795835,0.0151063495204846,0.6342759132385254,0.0207292512059211,0.0108608193695545
ES-LgS,0.0008592488593421,0.0293129469576531,-7.634854316711426,0.0364575833082199,0.0185667909681797
FI-Hyy,0.0009295120835304,0.030487900608773,-0.3222651481628418,0.0399121344089508,0.0206430461257696
FI-Ken,0.0002002938999794,0.014152522742587,0.3837842345237732,0.0231492277234792,0.0117672942578792
FI-Let,0.0003477541322354,0.0186481669939815,0.6284114122390747,0.0252135898917913,0.0133628938347101
FI-Lom,0.0002040548861259,0.0142847781265919,0.0140180587768554,0.021836245432496,0.0110535826534032
FI-Qvd,0.0004047219408676,0.0201177021766304,0.633230447769165,0.0255621094256639,0.0137709882110357
FI-Sii,0.0003129032847937,0.0176890724684399,-2.6853137016296387,0.0265633724629879,0.0135190645232796
FI-Sod,0.0002754746819846,0.0165974299813143,-0.1046446561813354,0.0216156933456659,0.0109849637374281
FI-Var,0.0002897244994528,0.0170212954692896,-0.6230798959732056,0.0279685072600841,0.0141607923433184
FR-Aur,0.0007815088029019,0.0279554789424533,0.3238149285316467,0.032135184854269,0.0172633212059736
FR-Bil,0.0004132996837142,0.0203297733316012,0.6653450131416321,0.0268950276076793,0.0145994145423173
FR-EM2,0.0015573267592117,0.0394629796038226,0.3881227374076843,0.0349619165062904,0.0205468833446502
FR-FBn,0.0003344379365444,0.0182876443683821,0.6302255392074585,0.0263375453650951,0.0139377666637301
FR-Fon,0.0009486223571002,0.030799713587958,0.5523104071617126,0.0393743179738521,0.0214251466095447
FR-Gri,0.0012497453717514,0.0353517378887019,0.1577397584915161,0.0356950499117374,0.0195873621851205
FR-Hes,0.0009890317451208,0.0314488751010411,0.5508740544319153,0.040233377367258,0.022022794932127
FR-LBr,0.0012641929788514,0.0355554915428193,0.0140971541404724,0.0477946326136589,0.0255625937134027
FR-LGt,0.0003441890003159,0.0185523313983974,0.524040162563324,0.0288274083286523,0.0148964608088135
FR-Lam,0.001011342392303,0.0318016099011205,0.3788697719573974,0.0350388996303081,0.0192679986357688
FR-Mej,0.0009859430138021,0.0313997295179778,0.4537565112113952,0.0358501635491848,0.0199960675090551
FR-Pue,0.0002974344824906,0.0172462889483692,0.444918155670166,0.0258610807359218,0.0133537771180272
FR-Tou,0.0002905069268308,0.0170442637515047,0.5848610401153564,0.0220935698598623,0.0116784386336803
GF-Guy,0.0055891587398946,0.0747606764274817,-0.5241107940673828,0.1036591306328773,0.0576187670230865
GH-Ank,0.0030556148849427,0.055277616491151,0.0132256746292114,0.0701090395450592,0.0384701751172542
GL-NuF,0.0006023204769007,0.0245422182555038,-4.157201766967773,0.031300064176321,0.0159621927887201
GL-ZaF,0.0002680306788533,0.016371642521549,-0.8449679613113403,0.0247810520231723,0.0125154154375195
GL-ZaH,0.0003417860134504,0.0184874555699391,-20.369916915893555,0.0303147714585065,0.0152920838445425
IL-Yat,0.0007627343875356,0.0276176463069466,-2.304637908935547,0.0331586860120296,0.0168916992843151
IT-BCi,0.0020989910699427,0.0458147472975974,0.1500661969184875,0.0456386096775531,0.025978572666645
IT-BFt,0.0012913449900224,0.0359352889235982,0.5202003717422485,0.0455508232116699,0.0255781486630439
IT-CA1,0.0003452664532233,0.0185813469162841,0.580420732498169,0.0237745884805917,0.0126182902604341
IT-CA2,0.0018471056828275,0.0429779674115416,-1.1371092796325684,0.0496639236807823,0.0262804552912712
IT-CA3,0.000531077501364,0.0230451188186143,0.5323730707168579,0.0257189683616161,0.014035165309906
IT-Col,0.0019813587423413,0.0445124560358266,-0.2433472871780395,0.0574302189052104,0.0306627657264471
IT-Cp2,0.0018311322201043,0.0427917307444363,-0.2580741643905639,0.0566699244081974,0.0302280206233263
IT-Cpz,0.0004867702373303,0.0220628701063652,0.5981754064559937,0.033746026456356,0.017806364223361
IT-Isp,0.0010460175108164,0.0323421939703609,0.5667251348495483,0.037235353142023,0.0211660098284482
IT-La2,0.0016929737757891,0.041145762549613,0.0908859968185424,0.0460253544151783,0.0253170952200889
IT-Lav,0.0009926512138918,0.0315063678308338,0.5341312885284424,0.0390623956918716,0.0217359140515327
IT-Lsn,0.0002110702334903,0.0145282563816281,0.7133597731590271,0.0213069953024387,0.0111555494368076
IT-MBo,0.0007975283660925,0.0282405447201818,0.4432471990585327,0.0364495255053043,0.019427279010415
