site,test_loss,mse,r2,relative_error,mae,rmse
FR-Lam,0.0088419690728187,0.0088419644162058,0.3831414580345154,0.1895745992660522,0.0467377938330173,0.0940317213535308
FR-Mej,0.0021148608066141,0.0021148612722754,0.6294177174568176,0.1002970188856124,0.0280411541461944,0.0459876209497451
FR-Pue,0.0064372387714684,0.0064372415654361,0.505445122718811,0.1808013916015625,0.0500316768884658,0.0802324190735817
FR-Tou,0.0019960075151175,0.0019960070494562,0.8100336790084839,0.062603011727333,0.0292317140847444,0.0446766950190067
GF-Guy,0.0040662237443029,0.0040662232786417,0.743471622467041,0.1633510142564773,0.0421604551374912,0.0637669414281845
GH-Ank,0.0028811960946768,0.0028811953961849,0.4685137271881103,0.0724025964736938,0.0326583348214626,0.0536767691373825
GL-NuF,0.004471203777939,0.0044712028466165,0.7610771059989929,0.1186452656984329,0.0441219322383403,0.0668670535087585
GL-ZaF,0.0021233786828815,0.0021233784500509,0.8903557658195496,0.14389169216156,0.0290838722139596,0.0460801310837268
GL-ZaH,0.002445098478347,0.002445098478347,0.7049692869186401,0.0949305519461631,0.0357312262058258,0.049447938799858
IL-Yat,0.0021423553116619,0.0021423567086458,0.730115532875061,0.0817459672689437,0.0256808642297983,0.0462855994701385
IT-BCi,0.005017181392759,0.0050171758048236,0.1959792375564575,0.104677677154541,0.0401810109615325,0.0708320289850235
IT-BFt,0.001328855054453,0.001328854705207,0.8476064801216125,0.0580158345401287,0.0228655245155096,0.0364534594118595
IT-CA1,0.0102991415187716,0.0102991443127393,0.4930992722511291,0.2194400578737259,0.0578440837562084,0.1014847010374069
IT-CA2,0.0035291721578687,0.0035291733220219,0.6412615776062012,0.1802884042263031,0.0377254895865917,0.0594068467617034
IT-CA3,0.0399571880698204,0.039957195520401,0.5552356243133545,0.181641012430191,0.1130767688155174,0.1998929530382156
IT-Col,0.0027039120905101,0.0027039120905101,0.8559190630912781,0.0963904410600662,0.0276350695639848,0.0519991554319858
IT-Cp2,0.0058860844001173,0.0058860839344561,0.6709858179092407,0.1248062252998352,0.0526899918913841,0.0767208188772201
IT-Cpz,0.0040637413039803,0.0040637436322867,0.8278762102127075,0.1021671816706657,0.0417257621884346,0.0637474954128265
IT-Isp,0.0027303618844598,0.0027303625829517,0.8324045538902283,0.1252727508544922,0.0338854603469371,0.0522528700530529
IT-La2,0.0016163644613698,0.0016163648106157,0.6514760255813599,0.0826241225004196,0.0287170968949794,0.0402040407061576
IT-Lav,0.0033485391177237,0.0033485416788607,0.7771228551864624,0.0706237703561782,0.0350324362516403,0.0578665845096111
IT-Lsn,0.0034094904549419,0.0034094904549419,0.8533549904823303,0.0964536815881729,0.0357394888997077,0.0583908408880233
IT-MBo,0.0022022093180567,0.0022022095508873,0.8735160827636719,0.0749848186969757,0.0275719370692968,0.0469277054071426
IT-Noe,0.0038711335510015,0.0038711333181709,0.7363470792770386,0.1234850287437439,0.0402054414153099,0.0622184313833713
IT-PT1,0.004819796886295,0.004819796886295,0.8374516367912292,0.1158005520701408,0.0452926494181156,0.0694247558712959
IT-Ren,0.0025741017889231,0.0025741029530763,0.7450026273727417,0.083484299480915,0.0275695640593767,0.0507356189191341
IT-Ro1,0.0041485549882054,0.0041485549882054,0.747315526008606,0.1202202811837196,0.0380004458129406,0.0644092783331871
IT-Ro2,0.0029567193705588,0.0029567226301878,0.7402636408805847,0.0936452597379684,0.0314980149269104,0.0543757528066635
IT-SR2,0.002912881784141,0.0029128843452781,0.760796308517456,0.0643857344985008,0.0327135398983955,0.0539711453020572
IT-SRo,0.0033877131063491,0.0033877133391797,0.7359616756439209,0.1047689318656921,0.0385239459574222,0.0582040660083293
IT-Tor,0.0005183720495551,0.0005183718167245,0.7955175638198853,0.026929197832942,0.012236151844263,0.0227677803486585
JP-SMF,0.0066148433834314,0.0066148424521088,0.731995701789856,0.1600854247808456,0.0510932579636573,0.0813316851854324
MX-Tes,0.0011824159882962,0.0011824162211269,0.2904216647148132,0.0267029628157615,0.016416260972619,0.0343862809240818
MY-PSO,0.0044797640293836,0.0044797621667385,0.766294002532959,0.1023779213428497,0.041265707463026,0.0669310241937637
