site_left_out,mse_scaled,r2_scaled,relative_error,mae_scaled,rmse_scaled
IT-Ro1,0.012715848,0.0056493878364562,inf,0.10544555,0.11276457
IT-Ro2,0.007734015,0.4440943598747253,inf,0.07683007,0.08794325
IT-SR2,0.0145151075,-0.6792874336242676,inf,0.11182727,0.12047866
IT-SRo,0.002684404,0.7250818610191345,inf,0.035839014,0.051811233
IT-Tor,0.009442804,-2.340886116027832,inf,0.08936355,0.09717409
JP-SMF,0.011940179,-0.0410977602005004,inf,0.10022328,0.10927113
MX-Tes,0.020023996,-33.31639099121094,inf,0.13489577,0.14150617
MY-PSO,0.014410813,0.2056227922439575,inf,0.1060878,0.12004504
NL-Hor,0.019187802,-0.0232766866683959,inf,0.13029273,0.13852005
NL-Loo,0.0021848248,0.80159991979599,inf,0.030714089,0.046742108
PA-SPn,0.0052287653,0.7413973808288574,inf,0.048803095,0.0723102
PA-SPs,0.015483753,0.51922208070755,inf,0.11318128,0.124433726
RU-Che,0.04850514,-1.058941125869751,inf,0.21063147,0.22023882
RU-Cok,0.01616759,0.1635631918907165,inf,0.11347588,0.12715185
RU-Fy2,0.003913655,0.7187304496765137,inf,0.055106908,0.06255921
RU-Fyo,0.0092292465,0.4334225058555603,inf,0.08881699,0.09606897
RU-Ha1,0.017061211,0.2616819739341736,inf,0.12007824,0.13061857
SD-Dem,0.030482166,-1.38885235786438,inf,0.16890197,0.17459142
SE-Deg,0.0015349281,0.3718243837356567,inf,0.028459953,0.03917816
SE-Htm,0.0039251256,0.7583105564117432,inf,0.045478597,0.06265082
SE-Lnn,0.017986614,-0.4263925552368164,inf,0.12833786,0.13411419
SE-Nor,0.008766655,0.2189837098121643,inf,0.08658999,0.09363042
SE-Ros,0.012137462,0.1678486466407776,inf,0.10288273,0.11017015
SE-Svb,0.010287366,0.3977341055870056,inf,0.093910724,0.10142665
SJ-Adv,0.012615128,-0.1576532125473022,inf,0.102294214,0.112317085
US-A32,0.028874561,-1.2023849487304688,inf,0.1573041,0.16992517
US-AR1,0.010332383,-2.7221791744232178,inf,0.09385951,0.10164833
US-AR2,0.01801691,-3.4014201164245605,inf,0.12704572,0.13422708
US-ARM,0.015030769,-1.8815693855285645,inf,0.112127945,0.122600034
US-ARb,0.002924453,0.763817310333252,inf,0.032367527,0.05407821
US-ARc,0.0039300267,0.7565549612045288,inf,0.048473135,0.06268992
US-Atq,0.006748448,0.4787347316741943,inf,0.067124724,0.08214894
US-BZB,0.009271744,-1.9083905220031736,inf,0.08982406,0.096289895
US-BZF,0.009249073,-1.153116226196289,inf,0.08817373,0.0961721
US-BZS,0.00927967,-1.8730413913726809,inf,0.08447927,0.096331045
US-BZo,0.013286936,-2.865264177322388,inf,0.107162476,0.115268975
US-Bi1,0.008915217,0.5875229835510254,inf,0.063092895,0.094420426
US-Bi2,0.005697447,0.6265963315963745,inf,0.06416311,0.07548144
US-Blo,0.0042235875,0.7376182079315186,inf,0.04439509,0.064989135
US-CF1,0.0030798912,0.6910691261291504,inf,0.04097028,0.055496767
US-CF2,0.002588328,0.762047529220581,inf,0.03458765,0.05087561
US-CF3,0.006048015,0.2240940928459167,inf,0.06275078,0.07776898
US-CF4,0.0029216644,0.7186379432678223,inf,0.035112113,0.054052424
US-CRT,0.011671058,-0.5368624925613403,inf,0.087878466,0.10803267
US-CS1,0.004302045,0.530260443687439,inf,0.053674787,0.06558997
US-CS3,0.0040650344,0.6996763944625854,inf,0.0418596,0.06375762
US-CS4,0.0031312238,0.6960237622261047,inf,0.041762732,0.05595734
US-EDN,0.014868383,-1.0698957443237305,inf,0.10921845,0.12193598
US-GLE,0.014123388,-3.2146430015563965,inf,0.11228777,0.11884186
US-Goo,0.0023821476,0.8080798983573914,inf,0.029720133,0.04880725
US-HB1,0.0050507924,-1.3927726745605469,inf,0.04617432,0.07106893
US-HWB,0.010128396,-4.389214992523193,inf,0.093457796,0.10063993
US-Hn3,0.0035411986,-0.4162551164627075,inf,0.047666516,0.05950797
US-Ho2,0.0023031922,0.5390033721923828,inf,0.037547182,0.047991585
US-IB2,0.0045288387,0.2017119526863098,inf,0.05714639,0.06729665
US-ICs,0.012146083,-13.561086654663086,inf,0.10366382,0.11020927
US-ICt,0.004820249,-19.165428161621094,inf,0.05959391,0.06942801
US-Ivo,0.025355896,-0.693590521812439,inf,0.15119827,0.15923534
US-Jo2,0.0068550725,-35.3978157043457,inf,0.0773354,0.08279537
US-KFS,0.003397379,-0.6139086484909058,inf,0.0374499,0.05828704
US-KLS,0.0032305075,-0.282395601272583,inf,0.048038922,0.056837555
US-KS1,0.0032873084,0.2142999768257141,inf,0.047406808,0.057335053
US-KS2,0.025784854,-2.233832359313965,inf,0.15533747,0.16057663
US-KS3,0.002525103,-0.1668392419815063,inf,0.035356887,0.050250404
US-LWW,0.017467862,-1.391188383102417,inf,0.121628664,0.13216604
US-Lin,0.07173092,-4.123855113983154,inf,0.24749567,0.2678263
US-Los,0.007451509,-0.6119451522827148,inf,0.07933445,0.08632212
US-MOz,0.006890274,-0.3756400346755981,inf,0.07683196,0.08300768
US-Me1,0.0022220663,0.5178724527359009,inf,0.03221144,0.0471388
US-Me2,0.0025457644,0.6350414752960205,inf,0.042702,0.05045557
US-Me3,0.014404204,-1.5172033309936523,inf,0.107295446,0.12001751
US-Me4,0.0099394,-0.6064746379852295,inf,0.08525753,0.09969654
US-Me5,0.010161384,0.4285483360290527,inf,0.07751649,0.10080369
US-Me6,0.0154249035,-0.6555773019790649,inf,0.11327102,0.124197036
US-Mpj,0.01471393,-0.6909438371658325,inf,0.112643935,0.12130099
US-Myb,0.015268827,-0.518815279006958,inf,0.115057126,0.1235671
US-NC1,0.0026858074,0.6395474076271057,inf,0.034356643,0.051824775
US-NC4,0.0027668069,0.4393545985221863,inf,0.037610833,0.052600447
US-NR1,0.014689898,0.1274747252464294,inf,0.10968874,0.12120189
US-ONA,0.013305444,-2.568535566329956,inf,0.10294128,0.115349226
US-OWC,0.018880088,-0.8152731657028198,inf,0.12658218,0.13740483
US-Oho,0.0019245615,0.8589372634887695,inf,0.02972116,0.043869823
